,Hydropower,Environment,Recession,Sugar,Cotton
1989-06-14,2834000000.0,766300000.0,2796000000.0,1300000000.0,2807000000.0
1989-06-15,2840000000.0,760000000.0,2806000000.0,1298000000.0,2818000000.0
1989-06-16,2844000000.0,760000000.0,2814000000.0,1287000000.0,2826000000.0
1989-06-17,2860000000.0,762200000.0,2835000000.0,1292000000.0,2849000000.0
1989-06-18,2877000000.0,765300000.0,2857000000.0,1302000000.0,2872000000.0
1989-06-19,2889000000.0,763100000.0,2874000000.0,1308000000.0,2891000000.0
1989-06-20,2898000000.0,760000000.0,2887000000.0,1311000000.0,2907000000.0
1989-06-21,2906000000.0,760000000.0,2900000000.0,1313000000.0,2922000000.0
1989-06-22,2912000000.0,760000000.0,2910000000.0,1306000000.0,2935000000.0
1989-06-23,2916000000.0,760000000.0,2921000000.0,1298000000.0,2947000000.0
1989-06-24,2924000000.0,760000000.0,2935000000.0,1285000000.0,2959000000.0
1989-06-25,2931000000.0,760000000.0,2948000000.0,1278000000.0,2964000000.0
1989-06-26,2937000000.0,760000000.0,2960000000.0,1261000000.0,2972000000.0
1989-06-27,2941000000.0,760000000.0,2971000000.0,1249000000.0,2971000000.0
1989-06-28,2950000000.0,760000000.0,2987000000.0,1235000000.0,2980000000.0
1989-06-29,2956000000.0,760000000.0,3001000000.0,1227000000.0,2989000000.0
1989-06-30,2962000000.0,760000000.0,3014000000.0,1213000000.0,2991000000.0
1989-07-01,2966000000.0,760000000.0,3007000000.0,1200000000.0,2996000000.0
1989-07-02,2970000000.0,760000000.0,2981000000.0,1180000000.0,2994000000.0
1989-07-03,2974000000.0,760000000.0,2954000000.0,1163000000.0,2995000000.0
1989-07-04,2978000000.0,760000000.0,2920000000.0,1141000000.0,2991000000.0
1989-07-05,2981000000.0,760000000.0,2896000000.0,1128000000.0,2994000000.0
1989-07-06,2992000000.0,760000000.0,2870000000.0,1120000000.0,3008000000.0
1989-07-07,3001000000.0,760000000.0,2868000000.0,1118000000.0,3023000000.0
1989-07-08,3012000000.0,760000000.0,2850000000.0,1120000000.0,3040000000.0
1989-07-09,3036000000.0,772500000.0,2868000000.0,1136000000.0,3070000000.0
1989-07-10,3052000000.0,776900000.0,2890000000.0,1145000000.0,3092000000.0
1989-07-11,3081000000.0,794900000.0,2893000000.0,1168000000.0,3128000000.0
1989-07-12,3115000000.0,818200000.0,2925000000.0,1195000000.0,3169000000.0
1989-07-13,3154000000.0,844900000.0,2971000000.0,1226000000.0,3213000000.0
1989-07-14,3179000000.0,857900000.0,2981000000.0,1243000000.0,3244000000.0
1989-07-15,3195000000.0,862100000.0,2994000000.0,1251000000.0,3265000000.0
1989-07-16,3207000000.0,861800000.0,2968000000.0,1254000000.0,3282000000.0
1989-07-17,3216000000.0,859000000.0,2963000000.0,1254000000.0,3296000000.0
